N_img,N_slab,γ1,γ2,E_exact,E_ewald,error_r
14,5,-0.95,-0.95,-1.6952412331154787,-1.7012056977194987,0.0035183574393472224
16,5,-0.95,-0.95,-1.6952412331154787,-2.2342282783750904,0.31794120785339364
2,7,-0.95,-0.95,-1.6952412331154787,-1.693703202440644,0.0009072636063766283
4,7,-0.95,-0.95,-1.6952412331154787,-1.695222832561415,1.0854239328495264e-5
6,7,-0.95,-0.95,-1.6952412331154787,-1.6952410411829828,1.1321839756329092e-7
8,7,-0.95,-0.95,-1.6952412331154787,-1.6952412841957771,3.013158094414998e-8
10,7,-0.95,-0.95,-1.6952412331154787,-1.6952412870218894,3.179866653522497e-8
12,7,-0.95,-0.95,-1.6952412331154787,-1.695241287644608,3.21659998275215e-8
14,7,-0.95,-0.95,-1.6952412331154787,-1.6952413122004788,4.665117775532627e-8
16,7,-0.95,-0.95,-1.6952412331154787,-1.6952427809439545,9.130431973917698e-7
2,3,-0.95,0.95,-1.2716147999023537,-1.2711251354409692,0.0003850729493099195
4,3,-0.95,0.95,-1.2716147999023537,-1.2716208536850206,4.760704788432778e-6
6,3,-0.95,0.95,-1.2716147999023537,-1.2716544471822444,3.117868704716413e-5
8,3,-0.95,0.95,-1.2716147999023537,-1.2631291459877891,0.006673132394508289
10,3,-0.95,0.95,-1.2716147999023537,-1.2677549781255704,0.003035370284365783
12,3,-0.95,0.95,-1.2716147999023537,-1.2705344570672206,0.0008495834078182323
14,3,-0.95,0.95,-1.2716147999023537,-1.2705013761680162,0.0008755982821393997
16,3,-0.95,0.95,-1.2716147999023537,-1.2703334963401502,0.001007619258836758
2,5,-0.95,0.95,-1.2716147999023537,-1.2711251243412203,0.00038508167817096975
4,5,-0.95,0.95,-1.2716147999023537,-1.2716214751724242,5.249443519366173e-6
6,5,-0.95,0.95,-1.2716147999023537,-1.271614761616846,3.0107787087722956e-8
8,5,-0.95,0.95,-1.2716147999023537,-1.2716148454574185,3.5824578980208545e-8
10,5,-0.95,0.95,-1.2716147999023537,-1.2716153094692442,4.007242527375568e-7
12,5,-0.95,0.95,-1.2716147999023537,-1.2715856801535312,2.2899819052677314e-5
14,5,-0.95,0.95,-1.2716147999023537,-1.277852627267479,0.004905437846118452
16,5,-0.95,0.95,-1.2716147999023537,-1.2744522154442126,0.0022313483156037378
2,7,-0.95,0.95,-1.2716147999023537,-1.2711251238023957,0.0003850821019034873
4,7,-0.95,0.95,-1.2716147999023537,-1.2716214746843066,5.249059662913401e-6
6,7,-0.95,0.95,-1.2716147999023537,-1.2716147607443207,3.07939425062844e-8
8,7,-0.95,0.95,-1.2716147999023537,-1.2716148521333965,4.107457921074652e-8
10,7,-0.95,0.95,-1.2716147999023537,-1.2716148513132752,4.0429634448964594e-8
12,7,-0.95,0.95,-1.2716147999023537,-1.2716148512616479,4.038903459981965e-8
14,7,-0.95,0.95,-1.2716147999023537,-1.2716148569532588,4.486492695397382e-8
16,7,-0.95,0.95,-1.2716147999023537,-1.271614515117226,2.239554995144793e-7
2,3,1.0,1.0,-0.8166922854862002,-0.8184834859695815,0.002193237912508228
4,3,1.0,1.0,-0.8166922854862002,-0.8167135926602526,2.6089598776691374e-5
6,3,1.0,1.0,-0.8166922854862002,-0.8165110067002768,0.00022196706047679138
8,3,1.0,1.0,-0.8166922854862002,-0.790070072160948,0.03259760597518464
10,3,1.0,1.0,-0.8166922854862002,0.37550860195784497,1.459792027708813
